"ID";"Name";"global_id";"Photo";"AdmArea";"District";"DepartmentalAffiliation";"Address";"Capacity";"ObjectOperOrgName";"ObjectOperOrgPhone";"Longitude_WGS84";"Latitude_WGS84";"geoData";"geodata_center";
"Локальный идентификатор";"Наименование велосипедной парковки";"global_id";"Фотография";"Административный округ по адресу";"Район";"Ведомственная принадлежность";"Адресный ориентир";"Количество мест";"Наименование эксплуатирующей организации";"Телефон эксплуатирующей организации";"Долгота в WGS-84";"Широта в WGS-84";"geoData";"geodata_center";
"1441";"Велосипедная парковка № 080149213071";"22950253";"0579cf2b-fc91-4953-8e06-36e41181169a";"Восточный административный округ";"район Ивановское";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Улица Молостовых, дом 1 Г";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.833043";"55.764273";"{coordinates=[37.833043, 55.764273], type=Point}";"{coordinates=[37.833043, 55.764273], type=Point}";
"1442";"Велосипедная парковка № 080149111992";"22950254";"ce08dd91-1382-419d-967a-c2081041a5c0";"Восточный административный округ";"район Измайлово";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"10-я Парковая улица, дом 20";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.802927";"55.798477";"{coordinates=[37.802927, 55.798477], type=Point}";"{coordinates=[37.802927, 55.798477], type=Point}";
"1443";"Велосипедная парковка № 080149111212";"22950255";"f2bf0c48-9611-4769-893c-4f45e09b24c2";"Восточный административный округ";"район Косино-Ухтомский";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Большая Косинская улица, дом 16, корпус 1";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.854707";"55.710825";"{coordinates=[37.854707, 55.710825], type=Point}";"{coordinates=[37.854707, 55.710825], type=Point}";
"1444";"Велосипедная парковка № 080149112497";"22950256";"dd513602-5684-4bb9-ba4c-9c2522a7231f";"Восточный административный округ";"район Новокосино";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Салтыковская улица, дом 29 А";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.871275";"55.739430";"{coordinates=[37.871275, 55.73943], type=Point}";"{coordinates=[37.871275, 55.73943], type=Point}";
"1445";"Велосипедная парковка № 080149110384";"22950257";"bfdf847f-e399-4e78-a080-9b539537d16e";"Восточный административный округ";"район Перово";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"3-я Владимирская улица, дом 9 А";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.788803";"55.760617";"{coordinates=[37.788803, 55.760617], type=Point}";"{coordinates=[37.788803, 55.760617], type=Point}";
"1446";"Велосипедная парковка № 080149111997";"22950258";"a3b8b490-e5ce-46db-afe0-eed60da91c20";"Восточный административный округ";"район Северное Измайлово";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"15-я Парковая улица, дом 40 Б";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.823545";"55.806022";"{coordinates=[37.823545, 55.806022], type=Point}";"{coordinates=[37.823545, 55.806022], type=Point}";
"1448";"Велосипедная парковка № 080149510364";"22950260";"18597745-8052-4e18-b05d-046d72f543e8";"Восточный административный округ";"район Вешняки";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Вешняковская улица, дом 29 ";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.830188";"55.723137";"{coordinates=[37.830188, 55.723137], type=Point}";"{coordinates=[37.830188, 55.723137], type=Point}";
"1451";"Велосипедная парковка № 080149410364";"22950263";"3d4c4cf4-cde3-4eec-9741-95f1f8035f94";"Восточный административный округ";"район Вешняки";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Вешняковская улица, дом 18 А";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.825367";"55.723048";"{coordinates=[37.825367, 55.723048], type=Point}";"{coordinates=[37.825367, 55.723048], type=Point}";
"1454";"Велосипедная парковка № 080149511932";"22950266";"07fd884a-bcd1-47c0-9c8b-1b2728ed5eee";"Восточный административный округ";"район Метрогородок";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Открытое шоссе, дом 24, корпус 13";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.759313";"55.823668";"{coordinates=[37.759313, 55.823668], type=Point}";"{coordinates=[37.759313, 55.823668], type=Point}";
"1457";"Велосипедная парковка № 080149111681";"22950269";"adff977f-598a-4de4-8514-88e084621719";"Восточный административный округ";"район Богородское";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Миллионная улица, дом 11, корпус 1";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.696507";"55.816832";"{coordinates=[37.696507, 55.816832], type=Point}";"{coordinates=[37.696507, 55.816832], type=Point}";
