"global_id";"ID";"DepartamentalAffiliation";"AdmArea";"District";"Location";"DogParkArea";"Elements";"Lighting";"Fencing";"Photo";"WorkingHours";"geoData";"geodata_center";
"global_id";"Код";"Ведомственная принадлежность";"Административный округ";"Район";"Адресный ориентир";"Площадь площадки (кв.м)";"Элементы площадки";"Освещение площадки";"Ограждение площадки";"Фотография";"График работы";"geoData";"geodata_center";
"272687089";"17";"Префектура Центрального административного округа города Москвы";"Центральный административный округ";"Пресненский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица Антонова-Овсеенко, дом 11";"263";"[барьер одинарный, горка-лестница (без перил), информационный стенд]";"нет";"да";"nested data";"nested data";"{coordinates=[37.53719, 55.754723], type=Point}";"";
"272687090";"30";"Префектура Южного административного округа города Москвы";"Южный административный округ";"район Нагатинский Затон";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатинский Затон, Нагатинская набережная, дом 70";"927.78";"[барьер одинарный, бум для собак, вышка-лестница (с перилами), скамья для собаководов, тренировочный снаряд с покрышкой, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.694654, 55.690425], type=Point}";"";
"272687096";"31";"Префектура Южного административного округа города Москвы";"Южный административный округ";"Нагорный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Варшавское шоссе, дом 69, корпус 2";"600.76";"[барьер кольца, барьер одинарный, бум для собак, вышка-лестница (с перилами), горка-лестница (без перил), скамья для собаководов, тренировочный снаряд с покрышкой, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.622125, 55.662654], type=Point}";"";
"272687132";"32";"Префектура Южного административного округа города Москвы";"Южный административный округ";"Нагорный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Ялтинская улица, дом 1";"513.84";"[балансир для собак, барьер двойной, бум для собак, горка-лестница (без перил), скамья для собаководов, тренировочный снаряд с покрышкой, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.61111, 55.649751], type=Point}";"";
"272687134";"33";"Префектура Южного административного округа города Москвы";"Южный административный округ";"район Орехово-Борисово Северное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Северное, Шипиловский проезд, дом 49/1";"2500";"[балансир для собак, барьер одинарный, бум для собак, вышка-лестница (с перилами), скамья для собаководов, трамплин, тренировочный снаряд с покрышкой, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.69757, 55.607914], type=Point}";"";
"272687135";"34";"Префектура Южного административного округа города Москвы";"Южный административный округ";"район Орехово-Борисово Северное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Северное, улица Генерала Белова, дом 21";"690.43";"[балансир для собак, барьер одинарный, бум для собак, горка-лестница (без перил), трап, урна]";"да";"да";"nested data";"nested data";"{coordinates=[37.721665, 55.617698], type=Point}";"";
"272687137";"5";"Префектура Северо-Восточного административного округа города Москвы";"Северо-Восточный административный округ";"Алексеевский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, Ярославская улица, дом 10, корпус 3";"390.51";"[входной элемент, урна]";"да";"да";"nested data";"nested data";"{coordinates=[37.64869, 55.82052], type=Point}";"";
"272687140";"35";"Префектура Южного административного округа города Москвы";"Южный административный округ";"район Орехово-Борисово Северное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Северное, Борисовский проезд, дом 5, строение 2";"252";"[барьер одинарный, трамплин, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.715341, 55.627299], type=Point}";"";
"272687141";"36";"Префектура Южного административного округа города Москвы";"Южный административный округ";"район Орехово-Борисово Северное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Северное, улица Маршала Захарова, дом 16, корпус 1";"304.29";"[балансир для собак, барьер одинарный, бум для собак, вышка-лестница (с перилами), туннель (нора), скамья для собаководов, трап, тренировочный снаряд с покрышкой, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.695464, 55.621697], type=Point}";"";
"272687155";"6";"Префектура Северо-Восточного административного округа города Москвы";"Северо-Восточный административный округ";"Алексеевский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, улица Бориса Галушкина, дом 18";"184.73";"[барьер одинарный, входной элемент, горка-лестница (без перил), скамья для собаководов, урна]";"да";"да";"nested data";"nested data";"{coordinates=[37.65663, 55.82226], type=Point}";"";
